,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,3.876410223223798e-05,3.586204833094795e-05-4.1666156133528006e-05,0.0,0.0,0.0,0.0
1,4.503789412917166e-05,4.1666156133528006e-05-4.840963212481531e-05,0.0,0.0,0.0,0.0
2,5.23270704281539e-05,4.840963212481531e-05-5.624450873149249e-05,0.0,0.0,0.0,0.0
3,6.079596643084288e-05,5.624450873149249e-05-6.534742413019327e-05,0.0,0.0,0.0,0.0
4,7.063551435265349e-05,6.534742413019327e-05-7.592360457511371e-05,0.0,0.0,0.0,0.0
5,8.206754791108506e-05,7.592360457511371e-05-8.82114912470564e-05,0.0,0.0,0.0,0.0
6,9.534980359189864e-05,8.82114912470564e-05-0.00010248811593674089,0.0,0.0,0.0,0.0
7,0.00011078173134725311,0.00010248811593674089-0.00011907534675776532,0.0,0.0,0.0,0.0
8,0.00012871124572864546,0.00011907534675776532-0.00013834714469952562,0.0,0.0,0.0,0.0
9,0.000149542569659709,0.00013834714469952562-0.00016073799461989238,0.0,0.0,0.0,0.0
10,0.00017374534768761012,0.00016073799461989238-0.00018675270075532786,0.0,0.0,0.0,0.0
11,0.00020186523417232586,0.00018675270075532786-0.0002169777675893239,0.0,0.0,0.0,0.0
12,0.00023453619512572317,0.0002169777675893239-0.00025209462266212245,0.0,0.0,0.0,0.0
13,0.00027249480104678855,0.00025209462266212245-0.00029289497943145465,0.0,0.0,0.0,0.0
14,0.00031659683298659023,0.00029289497943145465-0.00034029868654172576,0.0,0.0,0.0,0.0
15,0.0003678365762285802,0.00034029868654172576-0.0003953744659154347,0.0,0.0,0.0,0.0
16,0.0004273692365624358,0.0003953744659154347-0.0004593640072094369,0.0,0.0,0.0,0.0
17,0.0004965369845288598,0.0004593640072094369-0.0005337099618482827,0.0,0.0,0.0,0.0
18,0.0005768992148057763,0.0005337099618482827-0.0006200884677632699,0.0,0.0,0.0,0.0
19,0.0006702677029371964,0.0006200884677632699-0.0007204469381111229,0.0,0.0,0.0,0.0
20,0.0007787474520171721,0.0007204469381111229-0.0008370479659232212,0.0,0.0,0.0,0.0
21,0.0009047841502219326,0.0008370479659232212-0.000972520334520644,0.0,0.0,0.0,0.0
22,0.0010512193091256157,0.000972520334520644-0.0011299182837305874,0.0,0.0,0.0,0.0
23,0.0012213543258991415,0.0011299182837305874-0.0013127903680676956,0.0,0.0,0.0,0.0
24,0.001419024913681731,0.0013127903680676956-0.0015252594592957663,0.0,0.0,0.0,0.0
25,0.0016486875781661818,0.0015252594592957663-0.0017721156970365972,0.0,0.0,0.0,0.0
26,0.0019155200900222685,0.0017721156970365972-0.00205892448300794,0.0,0.0,0.0,0.0
