,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,5.556816581286907e-05,5.150914703766497e-05-5.962718458807317e-05,0.0,0.0,0.0,0.0
1,6.432592016563137e-05,5.962718458807317e-05-6.902465574318957e-05,0.0,0.0,0.0,0.0
2,7.44639299250885e-05,6.902465574318957e-05-7.99032041069874e-05,0.0,0.0,0.0,0.0
3,8.619972859480456e-05,7.99032041069874e-05-9.249625308262172e-05,0.0,0.0,0.0,0.0
4,9.978513378615687e-05,9.249625308262172e-05-0.00010707401448969204,0.0,0.0,0.0,0.0
5,0.0001155116505241683,0.00010707401448969204-0.00012394928655864459,0.0,0.0,0.0,0.0
6,0.00013371672613489704,0.00012394928655864459-0.00014348416571114948,0.0,0.0,0.0,0.0
7,0.00015479099092687633,0.00014348416571114948-0.00016609781614260319,0.0,0.0,0.0,0.0
8,0.00017918664003149887,0.00016609781614260319-0.00019227546392039456,0.0,0.0,0.0,0.0
9,0.00020742713625333532,0.00019227546392039456-0.00022257880858627608,0.0,0.0,0.0,0.0
10,0.0002401184421265796,0.00022257880858627608-0.0002576580756668831,0.0,0.0,0.0,0.0
11,0.00027796202218632567,0.0002576580756668831-0.0002982659687057682,0.0,0.0,0.0,0.0
12,0.00032176989444726567,0.0002982659687057682-0.00034527382018876315,0.0,0.0,0.0,0.0
13,0.00037248205405269894,0.00034527382018876315-0.0003996902879166347,0.0,0.0,0.0,0.0
14,0.0004311866429569163,0.0003996902879166347-0.0004626829979971979,0.0,0.0,0.0,0.0
15,0.0004991432984262667,0.0004626829979971979-0.0005356035988553356,0.0,0.0,0.0,0.0
16,0.000577810181352829,0.0005356035988553356-0.0006200167638503224,0.0,0.0,0.0,0.0
17,0.0006688752643331491,0.0006200167638503224-0.0007177337648159759,0.0,0.0,0.0,0.0
18,0.000774292550867232,0.0007177337648159759-0.0008308513369184883,0.0,0.0,0.0,0.0
19,0.0008963240028410976,0.0008308513369184883-0.0009617966687637067,0.0,0.0,0.0,0.0
20,0.0010375880759401052,0.0009617966687637067-0.0011133794831165037,0.0,0.0,0.0,0.0
21,0.0012011159044280888,0.0011133794831165037-0.0012888523257396738,0.0,0.0,0.0,0.0
22,0.001390416340861443,0.0012888523257396738-0.0014919803559832125,0.0,0.0,0.0,0.0
23,0.0016095512463096102,0.0014919803559832125-0.0017271221366360078,0.0,0.0,0.0,0.0
24,0.001863222646600772,0.0017271221366360078-0.001999323156565536,0.0,0.0,0.0,0.0
25,0.0021568736247234675,0.001999323156565536-0.002314424092881399,0.0,0.0,0.0,0.0
26,0.002496805114254574,0.002314424092881399-0.0026791861356277487,0.0,0.0,0.0,0.0
27,0.002890311099875897,0.0026791861356277487-0.0031014360641240454,0.0,0.0,0.0,0.0
28,0.003345835126006575,0.0031014360641240454-0.0035902341878891048,0.0,0.0,0.0,0.0
29,0.003873151471791431,0.0035902341878891048-0.004156068755693757,0.0,0.0,0.0,0.0
30,0.004483574879956785,0.004156068755693757-0.004811081004219814,0.0,0.0,0.0,0.0
31,0.005190203339731922,0.004811081004219814-0.005569325675244032,0.0,0.0,0.0,0.0
32,0.0060081991332826944,0.005569325675244032-0.006447072591321356,0.0,0.0,0.0,0.0
33,0.006955114176132341,0.006447072591321356-0.007463155760943325,0.0,0.0,0.0,0.0
34,0.00805126663247048,0.007463155760943325-0.008639377503997637,0.0,0.0,0.0,0.0
35,0.009320176886467711,0.008639377503997637-0.010000976268937787,0.0,0.0,0.0,0.0
36,0.010789072224328115,0.010000976268937787-0.011577168179718442,0.0,0.0,0.0,0.0
37,0.0124894710561534,0.011577168179718442-0.01340177393258836,0.0,0.0,0.0,0.0
38,0.014457859213395662,0.01340177393258836-0.015513944494202963,0.0,0.0,0.0,0.0
39,0.016736472833361795,0.015513944494202963-0.017959001172520625,0.0,0.0,0.0,0.0
40,0.019374204629294442,0.017959001172520625-0.020789408086068255,0.0,0.0,0.0,0.0
41,0.02242765299206577,0.020789408086068255-0.024065897898063286,0.0,0.0,0.0,0.0
42,0.025962336434289777,0.024065897898063286-0.027858774970516267,0.0,0.0,0.0,0.0
43,0.030054099435447217,0.027858774970516267-0.03224942390037817,0.0,0.0,0.0,0.0
44,0.03479073985355117,0.03224942390037817-0.03733205580672417,0.0,0.0,0.0,0.0
45,0.04027389282308279,0.03733205580672417-0.043215729839441414,0.0,0.0,0.0,0.0
46,0.04662121156240946,0.043215729839441414-0.05002669328537752,0.0,0.0,0.0,0.0
47,0.053968891884749445,0.05002669328537752-0.05791109048412138,0.0,0.0,0.0,0.0
48,0.062474594581669485,0.05791109048412138-0.06703809867921759,0.0,0.0,0.0,0.0
49,0.07232082838534061,0.06703809867921759-0.07760355809146363,0.04,0.0,0.04,0.0
50,0.08371886609851649,0.07760355809146363-0.08983417410556935,0.08547008547008547,0.0,0.08547008547008547,0.0
51,0.09691327792149602,0.08983417410556935-0.1039923817374227,0.2661290322580645,0.0,0.2661290322580645,0.0
52,0.11218717924866345,0.1039923817374227-0.1203819767599042,0.42780748663101603,0.0,0.42780748663101603,0.0
53,0.12986830553772954,0.1203819767599042-0.1393546343155549,0.4603174603174603,0.0,0.4603174603174603,0.0
54,0.15033604460147806,0.1393546343155549-0.16131745488740123,0.6213592233009708,0.0,0.6213592233009708,0.0
55,0.17402957721544726,0.16131745488740123-0.1867416995434933,0.686046511627907,0.0,0.686046511627907,0.0
56,0.20145730071635498,0.1867416995434933-0.21617290188921665,0.8302469135802469,0.0,0.8302469135802469,0.0
57,0.23320773779548915,0.21617290188921665-0.2502425737017616,0.8547486033519553,0.0,0.8547486033519553,0.0
58,0.269962164559442,0.2502425737017616-0.28968175541712243,0.9436997319034852,0.0,0.9436997319034852,0.0
