,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,3.850050750463158e-05,3.561686104047723e-05-4.138415396878594e-05,0.0,0.0,0.0,0.0
1,4.4734737534487715e-05,4.138415396878594e-05-4.80853211001895e-05,0.0,0.0,0.0,0.0
2,5.1978450986360625e-05,4.80853211001895e-05-5.587158087253176e-05,0.0,0.0,0.0,0.0
3,6.0395109390294464e-05,5.587158087253176e-05-6.491863790805716e-05,0.0,0.0,0.0,0.0
4,7.017464293468029e-05,6.491863790805716e-05-7.543064796130342e-05,0.0,0.0,0.0,0.0
5,8.15377364280631e-05,7.543064796130342e-05-8.76448248948228e-05,0.0,0.0,0.0,0.0
6,9.474080926925028e-05,8.76448248948228e-05-0.00010183679364367775,0.0,0.0,0.0,0.0
7,0.00011008180180365204,0.00010183679364367775-0.00011832680996362634,0.0,0.0,0.0,0.0
8,0.0001279068986406857,0.00011832680996362634-0.00013748698731774506,0.0,0.0,0.0,0.0
9,0.00014861834065052417,0.00013748698731774506-0.00015974969398330327,0.0,0.0,0.0,0.0
10,0.00017268350192559118,0.00015974969398330327-0.00018561730986787906,0.0,0.0,0.0,0.0
11,0.00020064543653738122,0.00018561730986787906-0.00021567356320688339,0.0,0.0,0.0,0.0
12,0.00023313513308656194,0.00021567356320688339-0.0002505967029662405,0.0,0.0,0.0,0.0
13,0.0002708857535823543,0.0002505967029662405-0.000291174804198468,0.0,0.0,0.0,0.0
14,0.0003147491779655307,0.000291174804198468-0.0003383235517325933,0.0,0.0,0.0,0.0
15,0.0003657152276184915,0.0003383235517325933-0.0003931069035043897,0.0,0.0,0.0,0.0
16,0.0004249340016598621,0.0003931069035043897-0.00045676109981533457,0.0,0.0,0.0,0.0
17,0.0004937418300641023,0.00045676109981533457-0.00053072256031287,0.0,0.0,0.0,0.0
18,0.000573691429263839,0.00053072256031287-0.0006166602982148081,0.0,0.0,0.0,0.0
19,0.0006665869407257972,0.0006166602982148081-0.0007165135832367865,0.0,0.0,0.0,0.0
20,0.000774524643180311,0.0007165135832367865-0.0008325357031238355,0.0,0.0,0.0,0.0
21,0.0008999402572159813,0.0008325357031238355-0.0009673448113081271,0.0,0.0,0.0,0.0
22,0.0010456639097142606,0.0009673448113081271-0.0011239830081203942,0.0,0.0,0.0,0.0
23,0.0012149839984505768,0.0011239830081203942-0.0013059849887807591,0.0,0.0,0.0,0.0
24,0.0014117213980296356,0.0013059849887807591-0.0015174578072785123,0.0,0.0,0.0,0.0
25,0.001640315681684938,0.0015174578072785123-0.0017631735560913633,0.0,0.0,0.0,0.0
26,0.0019059253046223492,0.0017631735560913633-0.002048677053153335,0.0,0.0,0.0,0.0
27,0.0022145440096435743,0.002048677053153335-0.0023804109661338135,0.0,0.0,0.0,0.0
28,0.0025731360818570933,0.0023804109661338135-0.0027658611975803736,0.0,0.0,0.0,0.0
29,0.0029897935046323664,0.0027658611975803736-0.0032137258116843592,0.0,0.0,0.0,0.0
30,0.003473918563176222,0.0032137258116843592-0.003734111314668085,0.0,0.0,0.0,0.0
31,0.004036436016361028,0.003734111314668085-0.004338760718053972,0.0,0.0,0.0,0.0
32,0.00469003962467096,0.004338760718053972-0.005041318531287948,0.0,0.0,0.0,0.0
33,0.005449478597412332,0.005041318531287948-0.005857638663536717,0.0,0.0,0.0,0.0
34,0.0063318904231514945,0.005857638663536717-0.006806142182766272,0.0,0.0,0.0,0.0
35,0.007357187594026989,0.006806142182766272-0.007908233005287707,0.0,0.0,0.0,0.0
36,0.008548506950751062,0.007908233005287707-0.00918878089621442,0.0,0.0,0.0,0.0
37,0.00993273178821314,0.00918878089621442-0.010676682680211864,0.0,0.0,0.0,0.0
38,0.011541098503512563,0.010676682680211864-0.012405514326813262,0.0,0.0,0.0,0.0
39,0.013409901476031046,0.012405514326813262-0.014414288625248833,0.0,0.0,0.0,0.0
40,0.015581312085858147,0.014414288625248833-0.01674833554646746,0.0,0.0,0.0,0.0
41,0.018104330352527273,0.01674833554646746-0.01946032515858708,0.0,0.0,0.0,0.0
42,0.021035890668727873,0.01946032515858708-0.022611456178868665,0.0,0.0,0.0,0.0
43,0.02444214658096429,0.022611456178868665-0.026272836983059912,0.0,0.0,0.0,0.0
44,0.028399963609502473,0.026272836983059912-0.030527090235945034,0.0,0.0,0.0,0.0
45,0.032998653794557374,0.030527090235945034-0.035470217353169714,0.0,0.0,0.0,0.0
46,0.03834199111046438,0.035470217353169714-0.04121376486775905,0.0,0.0,0.0,0.0
47,0.044550553227641114,0.04121376486775905-0.047887341587523176,0.0,0.0,0.0,0.0
48,0.05176444246650511,0.047887341587523176-0.05564154334548705,0.0,0.0,0.0,0.0
49,0.060146447344353135,0.05564154334548705-0.06465135134321923,0.0,0.0,0.0,0.0
