,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,0.0001149016693307324,0.00010693030681907519-0.00012287303184238963,0.0,0.0,0.0,0.0
1,0.000132032880989548,0.00012287303184238963-0.00014119273013670636,0.0,0.0,0.0,0.0
2,0.0001517182627888721,0.00014119273013670636-0.00016224379544103784,0.0,0.0,0.0,0.0
3,0.00017433862755365787,0.00016224379544103784-0.00018643345966627787,0.0,0.0,0.0,0.0
4,0.0002003315652222344,0.00018643345966627787-0.00021422967077819094,0.0,0.0,0.0,0.0
5,0.00023019990800396972,0.00021422967077819094-0.0002461701452297485,0.0,0.0,0.0,0.0
6,0.0002645214576457302,0.0002461701452297485-0.00028287277006171197,0.0,0.0,0.0,0.0
7,0.0003039601629806699,0.00028287277006171197-0.0003250475558996278,0.0,0.0,0.0,0.0
8,0.0003492789639885259,0.0003250475558996278-0.00037351037207742407,0.0,0.0,0.0,0.0
9,0.0004013545508351903,0.00037351037207742407-0.00042919872959295657,0.0,0.0,0.0,0.0
10,0.00046119432340451243,0.00042919872959295657-0.0004931899172160683,0.0,0.0,0.0,0.0
11,0.0005299558794037145,0.0004931899172160683-0.0005667218415913607,0.0,0.0,0.0,0.0
12,0.0006089694080389377,0.0005667218415913607-0.0006512169744865148,0.0,0.0,0.0,0.0
13,0.0006997634224655701,0.0006512169744865148-0.0007483098704446252,0.0,0.0,0.0,0.0
14,0.0008040943288064454,0.0007483098704446252-0.0008598787871682656,0.0,0.0,0.0,0.0
15,0.0009239804037492408,0.0008598787871682656-0.000988082020330216,0.0,0.0,0.0,0.0
16,0.001061740838018166,0.000988082020330216-0.0011353996557061157,0.0,0.0,0.0,0.0
17,0.0012200406010141461,0.0011353996557061157-0.0013046815463221765,0.0,0.0,0.0,0.0
18,0.0014019419945279447,0.0013046815463221765-0.001499202442733713,0.0,0.0,0.0,0.0
19,0.001610963892830483,0.001499202442733713-0.0017227253429272528,0.0,0.0,0.0,0.0
20,0.0018511498151372449,0.0017227253429272528-0.0019795742873472367,0.0,0.0,0.0,0.0
21,0.002127146147305514,0.0019795742873472367-0.002274718007263792,0.0,0.0,0.0,0.0
22,0.0024442920259596735,0.002274718007263792-0.002613866044655555,0.0,0.0,0.0,0.0
23,0.0028087226238489114,0.002613866044655555-0.003003579203042268,0.0,0.0,0.0,0.0
24,0.003227487834487935,0.003003579203042268-0.0034513964659336023,0.0,0.0,0.0,0.0
25,0.0037086886520297283,0.0034513964659336023-0.003965980838125854,0.0,0.0,0.0,0.0
26,0.004261633884632847,0.003965980838125854-0.00455728693113984,0.0,0.0,0.0,0.0
27,0.0048970202329363085,0.00455728693113984-0.0052367535347327765,0.0,0.0,0.0,0.0
28,0.005627139217252022,0.0052367535347327765-0.006017524899771267,0.0,0.0,0.0,0.0
