,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,8.940508391507754e-05,8.308921159105864e-05-9.572095623909644e-05,0.0,0.0,0.0,0.0
1,0.00010299700720603322,9.572095623909644e-05-0.00011027305817297,0.0,0.0,0.0,0.0
2,0.00011865526018046312,0.00011027305817297-0.00012703746218795624,0.0,0.0,0.0,0.0
3,0.0001366939792758239,0.00012703746218795624-0.00014635049636369156,0.0,0.0,0.0,0.0
4,0.0001574750579269805,0.00014635049636369156-0.00016859961949026948,0.0,0.0,0.0,0.0
5,0.0001814154068853842,0.00016859961949026948-0.00019423119428049892,0.0,0.0,0.0,0.0
6,0.00020899531829764582,0.00019423119428049892-0.00022375944231479273,0.0,0.0,0.0,0.0
7,0.00024076810134395098,0.00022375944231479273-0.00025777676037310924,0.0,0.0,0.0,0.0
8,0.0002773711827468436,0.00025777676037310924-0.0002969656051205779,0.0,0.0,0.0,0.0
9,0.00031953889484918587,0.0002969656051205779-0.00034211218457779385,0.0,0.0,0.0,0.0
10,0.0003681172078161786,0.00034211218457779385-0.0003941222310545634,0.0,0.0,0.0,0.0
11,0.0004240807015194097,0.0003941222310545634-0.00045403917198425604,0.0,0.0,0.0,0.0
12,0.000488552117593484,0.00045403917198425604-0.0005230650632027119,0.0,0.0,0.0,0.0
13,0.000562824883919301,0.0005230650632027119-0.0006025847046358901,0.0,0.0,0.0,0.0
14,0.0006483890634209778,0.0006025847046358901-0.0006941934222060655,0.0,0.0,0.0,0.0
15,0.000746961247762122,0.0006941934222060655-0.0007997290733181786,0.0,0.0,0.0,0.0
16,0.0008605189956698686,0.0007997290733181786-0.0009213089180215586,0.0,0.0,0.0,0.0
17,0.0009913405067895808,0.0009213089180215586-0.001061372095557603,0.0,0.0,0.0,0.0
18,0.0011420503270085265,0.001061372095557603-0.0012227285584594503,0.0,0.0,0.0,0.0
19,0.0013156720021903884,0.0012227285584594503-0.0014086154459213263,0.0,0.0,0.0,0.0
20,0.0015156887366617271,0.0014086154459213263-0.001622762027402128,0.0,0.0,0.0,0.0
21,0.0017461132733831513,0.001622762027402128-0.0018694645193641746,0.0,0.0,0.0,0.0
22,0.002011568397743712,0.0018694645193641746-0.00215367227612325,0.0,0.0,0.0,0.0
23,0.0023173796800485687,0.00215367227612325-0.0024810870839738876,0.0,0.0,0.0,0.0
24,0.0026696823173030463,0.0024810870839738876-0.002858277550632205,0.0,0.0,0.0,0.0
25,0.0030755442177568346,0.002858277550632205-0.003292810884881464,0.0,0.0,0.0,0.0
26,0.003543107797534911,0.003292810884881464-0.0037934047101883584,0.0,0.0,0.0,0.0
27,0.004081753334084315,0.0037934047101883584-0.004370101957980272,0.0,0.0,0.0,0.0
28,0.0047022871536395216,0.004370101957980272-0.005034472349298771,0.0,0.0,0.0,0.0
29,0.0054171584281301685,0.005034472349298771-0.005799844506961565,0.0,0.0,0.0,0.0
30,0.006240708930918543,0.005799844506961565-0.006681573354875522,0.0,0.0,0.0,0.0
31,0.0071894607619754575,0.006681573354875522-0.007697348169075393,0.0,0.0,0.0,0.0
32,0.008282447814847368,0.007697348169075393-0.008867547460619345,0.0,0.0,0.0,0.0
