,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,1.8250611452021837e-05,1.681488606353199e-05-1.968633684051168e-05,0.0,0.0,0.0,0.0
1,2.136723872123181e-05,1.968633684051168e-05-2.3048140601951936e-05,0.0,0.0,0.0,0.0
2,2.5016087366186848e-05,2.3048140601951936e-05-2.6984034130421763e-05,0.0,0.0,0.0,0.0
3,2.9288043966619565e-05,2.6984034130421763e-05-3.159205380281737e-05,0.0,0.0,0.0,0.0
4,3.428951565583659e-05,3.159205380281737e-05-3.698697750885581e-05,0.0,0.0,0.0,0.0
5,4.014508054043905e-05,3.698697750885581e-05-4.33031835720223e-05,0.0,0.0,0.0,0.0
6,4.700059072791298e-05,4.33031835720223e-05-5.0697997883803664e-05,0.0,0.0,0.0,0.0
7,5.502680525320026e-05,5.0697997883803664e-05-5.935561262259686e-05,0.0,0.0,0.0,0.0
8,6.442364339423865e-05,5.935561262259686e-05-6.949167416588043e-05,0.0,0.0,0.0,0.0
9,7.542516431928689e-05,6.949167416588043e-05-8.135865447269333e-05,0.0,0.0,0.0,0.0
10,8.830539710053383e-05,8.135865447269333e-05-9.525213972837433e-05,0.0,0.0,0.0,0.0
11,0.00010338516630966087,9.525213972837433e-05-0.00011151819289094742,0.0,0.0,0.0,0.0
12,0.00012104008320926998,0.00011151819289094742-0.00013056197352759254,0.0,0.0,0.0,0.0
13,0.00014170990158709015,0.00013056197352759254-0.0001528578296465878,0.0,0.0,0.0,0.0
14,0.00016590947127079298,0.0001528578296465878-0.00017896111289499817,0.0,0.0,0.0,0.0
15,0.0001942415621567387,0.00017896111289499817-0.0002095220114184792,0.0,0.0,0.0,0.0
16,0.0002274118781772781,0.0002095220114184792-0.00024530174493607703,0.0,0.0,0.0,0.0
17,0.0002662466351788605,0.00024530174493607703-0.0002871915254216439,0.0,0.0,0.0,0.0
18,0.00031171314054583054,0.0002871915254216439-0.0003362347556700172,0.0,0.0,0.0,0.0
19,0.00036494388717314957,0.0003362347556700172-0.00039365301867628187,0.0,0.0,0.0,0.0
20,0.0004272647619276952,0.00039365301867628187-0.00046087650517910854,0.0,0.0,0.0,0.0
21,0.0005002280712226749,0.00046087650517910854-0.0005395796372662413,0.0,0.0,0.0,0.0
22,0.0005856512063157291,0.0005395796372662413-0.0006317227753652169,0.0,0.0,0.0,0.0
23,0.00068566191141718,0.0006317227753652169-0.0007396010474691431,0.0,0.0,0.0,0.0
24,0.0008027512821595882,0.0007396010474691431-0.0008659015168500333,0.0,0.0,0.0,0.0
25,0.0009398358145298556,0.0008659015168500333-0.001013770112209678,0.0,0.0,0.0,0.0
26,0.0011003300497966655,0.001013770112209678-0.001186889987383653,0.0,0.0,0.0,0.0
27,0.00128823162489417,0.001186889987383653-0.001389573262404687,0.0,0.0,0.0,0.0
28,0.0015082208467215332,0.001389573262404687-0.0016268684310383793,0.0,0.0,0.0,0.0
29,0.0017657772705838453,0.0016268684310383793-0.0019046861101293115,0.0,0.0,0.0,0.0
30,0.002067316186544009,0.0019046861101293115-0.0022299462629587065,0.0,0.0,0.0,0.0
31,0.00242034841332721,0.0022299462629587065-0.002610750563695713,0.0,0.0,0.0,0.0
