,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,9.54141364606168e-05,8.87051251452498e-05-0.0001021231477759838,0.0,0.0,0.0,0.0
1,0.00010984700085513879,0.0001021231477759838-0.00011757085393429379,0.0,0.0,0.0,0.0
2,0.0001264630592957196,0.00011757085393429379-0.0001353552646571454,0.0,0.0,0.0,0.0
3,0.00014559255366037167,0.0001353552646571454-0.00015582984266359796,0.0,0.0,0.0,0.0
4,0.0001676156800206847,0.00015582984266359796-0.00017940151737777142,0.0,0.0,0.0,0.0
5,0.0001929701449864991,0.00017940151737777142-0.00020653877259522673,0.0,0.0,0.0,0.0
6,0.0002221598650646237,0.00020653877259522673-0.00023778095753402068,0.0,0.0,0.0,0.0
7,0.00025576498193015753,0.00023778095753402068-0.00027374900632629436,0.0,0.0,0.0,0.0
8,0.0002944533926625547,0.00027374900632629436-0.00031515777899881494,0.0,0.0,0.0,0.0
9,0.00033899402410829166,0.00031515777899881494-0.0003628302692177684,0.0,0.0,0.0,0.0
10,0.00039027211519627005,0.0003628302692177684-0.0004177139611747718,0.0,0.0,0.0,0.0
11,0.000449306810939872,0.0004177139611747718-0.0004808996607049723,0.0,0.0,0.0,0.0
12,0.0005172714178040443,0.0004808996607049723-0.0005536431749031163,0.0,0.0,0.0,0.0
13,0.0005955167230100443,0.0005536431749031163-0.0006373902711169723,0.0,0.0,0.0,0.0
14,0.0006855978412458287,0.0006373902711169723-0.0007338054113746851,0.0,0.0,0.0,0.0
15,0.0007893051223567617,0.0007338054113746851-0.0008448048333388383,0.0,0.0,0.0,0.0
16,0.000908699734302748,0.0008448048333388383-0.0009725946352666578,0.0,0.0,0.0,0.0
17,0.0010461546285881781,0.0009725946352666578-0.0011197146219096984,0.0,0.0,0.0,0.0
18,0.0012044017023469704,0.0011197146219096984-0.0012890887827842422,0.0,0.0,0.0,0.0
19,0.0013865860944226702,0.0012890887827842422-0.001484083406061098,0.0,0.0,0.0,0.0
20,0.001596328694570738,0.001484083406061098-0.0017085739830803783,0.0,0.0,0.0,0.0
21,0.0018377981081448328,0.0017085739830803783-0.001967022233209287,0.0,0.0,0.0,0.0
22,0.0021157935065553362,0.001967022233209287-0.002264564779901386,0.0,0.0,0.0,0.0
23,0.0024358400101416036,0.002264564779901386-0.002607115240381821,0.0,0.0,0.0,0.0
24,0.0028042984991793994,0.002607115240381821-0.0030014817579769783,0.0,0.0,0.0,0.0
25,0.0032284920355022282,0.0030014817579769783-0.003455502313027478,0.0,0.0,0.0,0.0
26,0.0037168514073488844,0.003455502313027478-0.003978200501670291,0.0,0.0,0.0,0.0
27,0.004279082690121086,0.003978200501670291-0.004579964878571882,0.0,0.0,0.0,0.0
28,0.00492636015329821,0.004579964878571882-0.005272755428024539,0.0,0.0,0.0,0.0
29,0.005671548347507544,0.005272755428024539-0.006070341266990548,0.0,0.0,0.0,0.0
30,0.006529457785700061,0.006070341266990548-0.006988574304409575,0.0,0.0,0.0,0.0
31,0.007517139300059968,0.006988574304409575-0.008045704295710361,0.0,0.0,0.0,0.0
32,0.008654222924951124,0.008045704295710361-0.009262741554191887,0.0,0.0,0.0,0.0
33,0.009963308041152318,0.009262741554191887-0.010663874528112748,0.0,0.0,0.0,0.0
34,0.011470412535444487,0.010663874528112748-0.012276950542776227,0.0,0.0,0.0,0.0
35,0.013205489902534933,0.012276950542776227-0.014134029262293638,0.0,0.0,0.0,0.0
36,0.015203024566648205,0.014134029262293638-0.016272019871002772,0.0,0.0,0.0,0.0
37,0.01750271725471849,0.016272019871002772-0.01873341463843421,0.0,0.0,0.0,0.0
38,0.020150274042881444,0.01873341463843421-0.021567133447328676,0.0,0.0,0.0,0.0
39,0.023198314758456184,0.021567133447328676-0.024829496069583692,0.0,0.0,0.0,0.0
40,0.026707418791781852,0.024829496069583692-0.028585341513980015,0.0,0.0,0.0,0.0
41,0.030747329103275378,0.028585341513980015-0.03290931669257074,0.0,0.0,0.0,0.0
42,0.035398338355185195,0.03290931669257074-0.03788736001779965,0.08695652173913043,0.0,0.08695652173913043,0.0
43,0.04075288471721902,0.03788736001779965-0.04361840941663839,0.12727272727272726,0.0,0.12727272727272726,0.0
44,0.04691738906246337,0.04361840941663839-0.05021636870828836,0.3114754098360656,0.0,0.3114754098360656,0.0
45,0.05401437006761102,0.05021636870828836-0.057812371426933684,0.3924050632911392,0.0,0.3924050632911392,0.0
46,0.06218487925482291,0.057812371426933684-0.06655738708271214,0.5443037974683544,0.0,0.5443037974683544,0.0
47,0.07159130437134678,0.06655738708271214-0.07662522165998144,0.5980392156862745,0.0,0.5980392156862745,0.0
48,0.08242059682367738,0.07662522165998144-0.08821597198737331,0.6475409836065574,0.0,0.6475409836065574,0.0
49,0.09488798731106826,0.08821597198737331-0.10156000263476322,0.8203125,0.0,0.8203125,0.0
50,0.10924126350610094,0.10156000263476322-0.11692252437743868,0.9097744360902256,0.0,0.9097744360902256,0.0
51,0.12576569480062497,0.11692252437743868-0.13460886522381124,0.9137055837563451,0.0,0.9137055837563451,0.0
52,0.14478970199571692,0.13460886522381124-0.1549705387676226,0.9484978540772532,0.0,0.9484978540772532,0.0
