,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,0.00016464911743933647,0.00015352585981509575-0.0001757723750635772,0.0,0.0,0.0,0.0
1,0.0001885074375045992,0.0001757723750635772-0.00020124249994562122,0.0,0.0,0.0,0.0
2,0.00021582292421119692,0.00020124249994562122-0.00023040334847677262,0.0,0.0,0.0,0.0
3,0.0002470965349255018,0.00023040334847677262-0.000263789721374231,0.0,0.0,0.0,0.0
4,0.0002829018177533439,0.000263789721374231-0.0003020139141324567,0.0,0.0,0.0,0.0
5,0.0003238954302304391,0.0003020139141324567-0.00034577694632842145,0.0,0.0,0.0,0.0
6,0.0003708291822134156,0.00034577694632842145-0.00039588141809840973,0.0,0.0,0.0,0.0
7,0.00042456382383423735,0.00039588141809840973-0.000453246229570065,0.0,0.0,0.0,0.0
8,0.00048608483138474026,0.000453246229570065-0.0005189234331994156,0.0,0.0,0.0,0.0
9,0.0005565204806394,0.0005189234331994156-0.0005941175280793846,0.0,0.0,0.0,0.0
10,0.0006371625390753385,0.0005941175280793846-0.0006802075500712924,0.0,0.0,0.0,0.0
11,0.0007294899564783247,0.0006802075500712924-0.0007787723628853569,0.0,0.0,0.0,0.0
12,0.0008351959884129747,0.0007787723628853569-0.0008916196139405926,0.0,0.0,0.0,0.0
13,0.0009562192499929945,0.0008916196139405926-0.0010208188860453965,0.0,0.0,0.0,0.0
14,0.0010947792694677655,0.0010208188860453965-0.0011687396528901348,0.0,0.0,0.0,0.0
15,0.001253417193666783,0.0011687396528901348-0.0013380947344434314,0.0,0.0,0.0,0.0
16,0.0014350423918268857,0.0013380947344434314-0.00153199004921034,0.0,0.0,0.0,0.0
17,0.0016429858125017072,0.00153199004921034-0.0017539815757930744,0.0,0.0,0.0,0.0
18,0.0018810610721021366,0.0017539815757930744-0.002008140568411199,0.0,0.0,0.0,0.0
19,0.0021536343954122617,0.002008140568411199-0.002299128222413325,0.0,0.0,0.0,0.0
20,0.0024657046907676904,0.002299128222413325-0.0026322811591220556,0.0,0.0,0.0,0.0
21,0.002822995228449617,0.0026322811591220556-0.003013709297777178,0.0,0.0,0.0,0.0
22,0.0032320586036473347,0.003013709297777178-0.0034504079095174917,0.0,0.0,0.0,0.0
23,0.003700396908976638,0.0034504079095174917-0.003950385908435785,0.0,0.0,0.0,0.0
24,0.0042365993204800095,0.003950385908435785-0.004522812732524233,0.0,0.0,0.0,0.0
25,0.004850499620392202,0.004522812732524233-0.005178186508260171,0.0,0.0,0.0,0.0
26,0.005553356545588843,0.005178186508260171-0.0059285265829175145,0.0,0.0,0.0,0.0
27,0.006358060269251355,0.0059285265829175145-0.006787593955585196,0.0,0.0,0.0,0.0
28,0.007279368802556547,0.006787593955585196-0.007771143649527899,0.0,0.0,0.0,0.0
29,0.008334178651922862,0.007771143649527899-0.008897213654317825,0.0,0.0,0.0,0.0
30,0.009541834695581378,0.008897213654317825-0.010186455736844931,0.0,0.0,0.0,0.0
31,0.010924484962509688,0.010186455736844931-0.011662514188174445,0.0,0.0,0.0,0.0
32,0.012507486820261744,0.011662514188174445-0.013352459452349042,0.0,0.0,0.0,0.0
33,0.01431987202104975,0.013352459452349042-0.015287284589750458,0.0,0.0,0.0,0.0
34,0.016394879134875813,0.015287284589750458-0.017502473680001164,0.0,0.0,0.0,0.0
35,0.01877056313436814,0.017502473680001164-0.020038652588735113,0.0,0.0,0.0,0.0
36,0.021490493310914495,0.020038652588735113-0.022942334033093877,0.0,0.0,0.0,0.0
37,0.024604552321653487,0.022942334033093877-0.026266770610213097,0.0,0.0,0.0,0.0
38,0.028169851021592147,0.026266770610213097-0.030072931432971198,0.0,0.0,0.0,0.0
39,0.03225177585858095,0.030072931432971198-0.0344306202841907,0.0,0.0,0.0,0.0
40,0.03692518804003794,0.0344306202841907-0.039419755795885185,0.06521739130434782,0.0,0.06521739130434782,0.0
41,0.04227579646375952,0.039419755795885185-0.04513183713163385,0.06944444444444445,0.0,0.06944444444444445,0.0
42,0.04840172959193373,0.04513183713163385-0.0516716220522336,0.2714285714285714,0.0,0.2714285714285714,0.0
43,0.05541533509602714,0.0516716220522336-0.05915904813982068,0.2222222222222222,0.0,0.2222222222222222,0.0
